"","sample.name","meancov_all","sdcov_all","meandep_all","sddep_all","meanbq_all","sdbq_all","meanmq_all","sdmq_all","nreads_all","meancov_chr","sdcov_chr","meandep_chr","sddep_chr","meanbq_chr","sdbq_chr","meanmq_chr","sdmq_chr","nreads_chr","Batch"
"677","RRAP-ECT01-2022-Aspat-OCCH-1531",76.1824804454787,18.679251656127,12.2877034553191,66.5833916932883,35.9890957446809,1.32146601050473,26.8561050531915,12.9652079270695,29095141,88.0135928571429,1.88204615592232,7.59548714285714,0.361443890473251,36.05,0.0518874521662778,40.0642857142857,2.40371735918705,18366170,"GBR"
"678","RRAP-ECT01-2022-Aspat-OCCH-1532",73.7826863390957,19.898458637085,9.28722929468085,45.6633425712353,35.8417553191489,1.31430158604973,27.7258098404255,12.8327774654504,23241558,86.8207142857143,2.11815895708338,6.17867642857143,0.187390987329747,35.9,0,41.2071428571429,2.13269936779814,14929567,"GBR"
"679","RRAP-ECT01-2022-Aspat-OCCH-1533",73.8248935505319,21.0702950151021,11.1813232720745,69.7888123171552,35.625664893617,2.25978407331178,27.8038178191489,13.30449246144,26089778,87.6629285714286,1.72508683501778,6.99955928571429,0.284095591806818,35.7928571428571,0.0267261241912409,41.95,2.20305731619982,16798194,"GBR"
"680","RRAP-ECT01-2022-Aspat-OCCH-1534",75.4754469787234,19.6038926207564,11.1605657580053,62.7447248831959,36.1390957446809,0.133530295022985,26.9958537234043,12.7243934032461,26925852,87.8173714285714,1.48103773100463,7.25532642857143,0.262818168573669,36.1571428571429,0.0513552591013103,40.3214285714286,2.13943866521053,17451117,"GBR"
"681","RRAP-ECT01-2022-Aspat-OCCH-1535",74.2379787167553,19.2910635612901,9.91990733670213,55.118978929589,35.9178191489362,1.31724262269192,27.9968658244681,13.0127261489791,24917477,87.0112785714286,1.82160604378012,6.65932714285714,0.242856465631247,35.9928571428571,0.0267261241912428,41.6142857142857,2.01717896801721,16121810,"GBR"
"682","RRAP-ECT01-2022-Aspat-OCCH-797",76.6464085571808,19.0651776360444,13.5208252430851,77.5485312290581,35.9531914893617,0.12562673997593,27.5324640957447,12.9038660487998,33271110,88.6477,1.80800320583446,9.01153285714286,0.311472879086757,35.9857142857143,0.0363136519601287,41.3928571428571,2.12330087208728,21647937,"GBR"
"683","RRAP-ECT01-2022-Aspat-OCCH-798",77.3025933736702,19.2050959681379,15.5321263816489,76.4003317048637,36.082579787234,0.114825144742783,27.7103125,12.8162827968608,38472551,88.8019071428571,1.75840876208021,9.93251928571429,0.353293480060553,36.1,0,40.8785714285714,2.06143287412069,24453179,"GBR"
"684","RRAP-ECT01-2022-Aspat-OCCH-799",74.2482589162234,19.5181947339714,9.58191707553192,46.3408924705677,35.7349734042553,1.85029245159125,28.1125430851064,13.0751248480959,24083960,86.7497857142857,1.87563809567146,6.46145714285714,0.253720947300181,35.8071428571429,0.0267261241912428,41.5142857142857,2.25826929744444,15567676,"GBR"
"685","RRAP-ECT01-2022-Aspat-OCCH-800",76.2487002659575,19.3062889940096,15.0881778066489,95.1199069139055,36.1167553191489,0.119524596350657,27.629271143617,12.9488070314957,36029309,88.5542571428571,1.75349006608767,9.59586214285714,0.405654667670356,36.1,0,41.0071428571429,2.19386006345482,23282571,"GBR"
"686","RRAP-ECT01-2022-Aspat-OCCH-801",74.3347730146277,20.0509257416147,11.255459618883,59.3287627996867,35.9614361702128,0.125676062231714,27.5687486702128,12.8200629335885,28048173,87.7522642857143,1.54514238358459,7.50313785714286,0.254697900513185,35.9785714285714,0.0425815313626326,41.3642857142857,2.21484750051769,18225640,"GBR"
